,Framework,a (Å),b,c,alpha,beta,gamma,Volume (Å^3),Density (T sites/ 1000 Å^3),Rings,Max Diameter (Å),Max diameter along a,Max diameter along b,Max diameter along c,Accessible Volume %,Number of T Sites
192,SAS,14.349,14.349,10.39,90,90,90,2140.9,14.9,8_6_4,8.99,2.02,2.02,4.22,18.09,2
193,SAT,12.871,12.871,30.57,90,90,120,4386.9,16.4,8_6_4,6.84,3.25,3.25,3.25,13.02,2
194,SAV,18.653,18.653,9.441,90,90,90,3284.9,14.6,8_6_4,8.82,3.75,3.75,4.1,17.85,3
195,SBE,18.534,18.534,27.13,90,90,90,9320.8,13.7,12_8_6_4,12.54,7.27,7.27,3.88,26.41,4
196,SBN,7.1866,7.1866,13.84,90,90,120,619.3,16.1,9_8_4_3,5.06,3.8,3.8,2.65,8.89,2
197,SBS,17.193,17.193,27.33,90,90,120,6997.3,13.7,12_8_6_4,11.45,7.27,7.27,5.72,27.23,4
198,SBT,17.191,17.191,41.03,90,90,120,10501.3,13.7,12_8_6_4,11.17,7.34,7.34,5.71,27.25,4
199,SEW,23.7289,11.2932,14.47,90,90,90,3878.1,17,12_10_6_5_4,7.35,5.29,5.97,1.92,16.6,11
200,SFE,11.4568,5.2555,13.99,90,100.96,90,827.2,16.9,12_6_5_4,6.66,1.6,6.29,1.6,12.61,7
201,SFF,11.454,21.695,7.227,90,93.154,90,1793.2,17.8,10_6_5_4,7.59,1.63,1.37,5.34,13.99,8
202,SFG,25.532,12.5745,13.06,90,90,90,4194.9,17.6,10_7_6_5_4,6.96,4.98,2.62,5.38,11.12,12
203,SFH,5.2548,34.3185,21.51,90,90,90,3880.5,16.5,14_6_5_4,7.63,6.79,1.5,1.78,14.88,8
204,SFN,25.2211,5.2562,15.02,90,103.89,90,1933.2,16.6,14_6_5_4,7.94,1.65,6.7,2.42,15.69,8
205,SFO,22.5853,13.5676,6.97,90,99.016,90,2109.7,15.2,12_8_6_4,7.92,1.64,3.64,6.95,19.57,4
206,SFS,14.0131,20.027,12.48,90,106.08,90,3367.4,16.6,12_10_6_5_4,7.52,1.8,5.92,4.84,15.96,14
207,SFV,20.1528,20.1528,109.7,90,90,90,44575.8,17.6,12_10_8_6_5_4,7.67,5.3,5.3,4.84,12.3,99
208,SFW,13.6806,13.6806,44.16,90,90,120,7157.8,15.1,8_6_4,7.78,3.65,3.65,3.65,17.2,3
209,SGT,10.329,10.329,34.36,90,90,90,3666.2,17.5,6_5_4,7.74,2.11,2.11,2.11,0,4
210,SIV,9.8768,14.0754,28.13,90,90,90,3910.8,16.4,8_4,5.38,3.73,3.31,3.37,9.74,4
211,SOD,8.9561,8.9561,8.956,90,90,90,718.4,16.7,6_4,6.32,2.53,2.53,2.53,0,1
212,SOF,20.332,12.085,10.27,90,105.25,90,2435.8,16.4,12_9_5_4,5.14,4.17,4.17,4.42,12.57,5
213,SOR,20.9277,17.7028,7.587,90,90,90,2811.1,17.1,12_8_6_5_4,7.06,3.08,3.08,6.66,13.29,4
214,SOS,20.4372,7.1161,9.725,90,90,90,1414.4,17,12_8_6_4_3,4.82,2.92,4.27,2.92,9.36,3
215,SOV,24.6308,26.6513,12.72,90,90,90,8354.3,13.3,12_6_5_4,7.25,6.55,6.09,5.74,20.6,10
216,SSF,17.2099,17.2099,12.79,90,90,120,3281.2,16.5,12_6_5_4,7.66,6.22,6.22,2.61,15.63,4
217,SSO,19.902,10.1561,24.68,90,105.88,90,4799.9,16.7,18_6_5_4,6.79,1.65,4.89,1.58,13.11,20
218,SSY,5.2576,22.5789,13.97,90,90,90,1659.2,16.9,12_6_5_4,7.1,1.67,1.57,5.75,12.17,8
219,STF,14.104,18.205,7.477,90,98.989,90,1896.3,16.9,10_6_5_4,7.63,1.57,1.26,5.44,15.39,5
220,STI,13.502,17.802,17.94,90,90,90,4312.6,16.7,10_8_6_5_4,6.29,4.94,2.96,1.85,13.27,4
221,STO,29.8857,8.3897,24.73,90,105.048,90,5988.4,18.7,12_6_5_4,6.8,1.72,6.09,2.07,9.94,28
222,STT,13.05,21.853,13.57,90,102.905,90,3773,17,9_7_6_5_4,7.04,2.76,1.89,2.76,13.9,16
223,STW,11.887,11.887,29.91,90,90,120,3660.8,16.4,10_8_5_4,5.43,3.38,3.38,4.88,13.93,5
224,SVR,20.4085,13.304,20.16,90,102.33,90,5349,17.2,10_6_5_4,5.85,4.65,4.65,4.65,10.75,23
225,SVV,13.1231,13.3734,21.26,90,123.642,90,3106.6,18,6_5_4,6.41,1.94,1.62,1.94,0,7
226,SVY,14.4047,14.4047,50.35,90,90,120,9048.5,15.7,NaN,8.44,4.9,4.9,2.6,16.26,27
