,Framework,a (Å),b,c,alpha,beta,gamma,Volume (Å^3),Density (T sites/ 1000 Å^3),Rings,Max Diameter (Å),Max diameter along a,Max diameter along b,Max diameter along c,Accessible Volume %,Number of T Sites
100,ITG,12.7411,12.6989,20.99,90,96.29,90,3377.2,16.6,12_10_6_5_4,7,5,6.3,5.21,15.72,16
101,ITH,12.5655,11.6615,21.93,90,90,90,3213.5,17.4,10_9_6_5_4,6.72,3.53,5.13,4.99,11.59,9
102,ITN,24.2,12.54,14.25,72.6,123.128,90,3382.8,16,12_10_6_5_4,6.95,4.86,4.54,4.7,16.74,27
103,ITR,11.6731,21.9694,25.17,90,90,90,6454.9,17.4,10_9_6_5_4,6.36,5.12,5.12,3.58,11.79,9
104,ITT,18.8677,18.8677,11.63,90,90,120,3586.6,12.8,18_10_6_5_4_3,11.74,2.29,2.29,11.2,25.1,4
105,ITV,26.3099,26.3099,26.3,90,90,90,18212,10.5,30_6_4,9.32,6.98,6.98,6.98,37.82,10
106,ITW,10.4496,15.0277,8.953,90,105.64,90,1354,17.7,8_6_5_4,4.73,2.78,1.54,3.95,7.83,3
107,IWR,21.2325,13.3024,12.67,90,90,90,3580.2,15.6,12_10_6_5_4,7.48,4.86,4.86,5.91,19.35,4
108,IWS,26.6887,26.6887,12.9,90,90,90,9194.1,14.8,12_6_5_4,8.25,6.38,6.38,6.66,23.19,7
109,IWV,27.8261,26.0805,13.94,90,90,90,10119.6,15,12_6_5_4,8.54,2.06,7.03,7.03,22.28,7
110,IWW,41.6908,12.7128,12.71,90,90,90,6737.1,16.6,12_10_8_6_5_4,7.07,4.91,4.91,6.25,15.3,16
111,JBW,5.256,7.45,8.159,90,90,90,319.5,18.8,8_6_4,4.29,3.72,2.53,1.46,4.18,2
112,JNT,8.2065,14.1364,15.4,90,119.27,90,1559,20.5,8_6_4,4.72,1.75,1.71,1.75,0,8
113,JOZ,7.1386,12.709,13.47,90,90,90,1222.1,16.4,8_4_3,4.92,3.09,3.5,3.09,7.5,3
114,JRY,8.165,9.1997,17.29,90,90,90,1299.1,18.5,10_6_4,4.59,2.05,4.4,1.75,6.76,3
115,JSN,8.7172,6.9231,14.94,90,96.99,90,895.3,17.9,8_6_4,5.12,1.59,2.75,3.46,8.04,4
116,JSR,19.845,19.845,19.84,90,90,90,7815.4,12.3,11_6_4_3,7.83,5.05,5.05,5.05,28.09,4
117,JST,14.97,14.97,14.97,90,90,90,3354.8,14.3,10_6_3,5.35,3.74,3.74,3.74,14.39,2
118,JSW,16.0185,9.6655,16.83,90,90,90,2606.2,18.4,8_6_4,5.38,1.92,2.6,1.65,0,6
119,KFI,18.578,18.578,18.57,90,90,90,6412.1,15,8_6_4,10.67,4.04,4.04,4.04,17.91,1
120,LAU,14.587,12.877,7.613,90,111.159,90,1333.6,18,10_6_4,6.04,2.09,2.09,4.07,9.57,3
121,LEV,13.168,13.168,22.57,90,90,120,3390.5,15.9,8_6_4,7.1,3.53,3.53,2.5,14.32,2
122,LIO,12.281,12.281,15.63,90,90,120,2041.8,17.6,6_4,6.05,2.37,2.37,2.29,0,4
123,LIT,14.844,8.5943,9.783,90,90,90,1248.2,19.2,10_8_6_4,3.24,1.51,1.81,1.53,0,3
124,LOS,12.607,12.607,10.34,90,90,120,1423.3,16.9,6_4,6.36,2.56,2.56,2.56,0,2
125,LOV,7.163,7.163,20.87,90,90,90,1071.1,16.8,9_8_6_4_3,5.15,3.78,3.78,3.77,7.57,3
126,LTA,11.919,11.919,11.91,90,90,90,1693.2,14.2,8_6_4,11.05,4.21,4.21,4.21,21.43,1
127,LTF,31.1669,31.1669,7.601,90,90,120,6394.5,16.9,12_8_6_5_4,8.16,3.25,3.25,7.5,11.21,6
128,LTJ,9.25,9.25,10.08,90,90,90,862.7,18.5,8_6_4,4.1,3.12,3.12,3.12,3.56,2
129,LTL,18.126,18.126,7.567,90,90,120,2153.1,16.7,12_8_6_4,10.01,2.08,2.08,7.5,15.37,2
130,LTN,35.622,35.622,35.62,90,90,90,45201.7,17,8_6_4,10.13,2.08,2.08,2.08,0,4
131,MAR,12.3923,12.3923,30.71,90,90,120,4085.2,17.6,6_4,6.35,2.43,2.43,2.43,0,4
132,MAZ,18.102,18.102,7.618,90,90,120,2161.9,16.7,12_8_6_5_4,8.09,3.25,3.25,7.5,12.72,2
133,MEI,13.114,13.114,15.56,90,90,120,2317.9,14.7,12_7_5_4_3,8.06,2.99,2.99,6.9,21.11,4
134,MEL,20.27,20.27,13.45,90,90,90,5529.9,17.4,10_8_6_5_4,7.72,5.19,5.19,5.19,12.69,7
135,MEP,13.705,13.705,13.7,90,90,90,2574.2,17.9,6_5,5.49,1.72,1.72,1.72,0,3
136,MER,14.012,14.012,9.954,90,90,90,1954.3,16.4,8_4,6.65,3.12,3.12,4.2,10.37,1
137,MFI,20.09,19.738,13.14,90,90,90,5211.3,18.4,10_6_5_4,6.36,4.7,4.46,4.46,9.81,12
138,MFS,7.543,14.388,19.01,90,90,90,2063.8,17.4,10_8_6_5_4,6.81,5.37,3.2,1.57,10.96,8
139,MON,7.135,7.135,17.8,90,90,90,906.6,17.6,8_5_4,4.24,3.54,3.54,3.54,5.98,1
140,MOR,18.256,20.534,7.542,90,90,90,2827.3,17,12_8_5_4,6.7,1.57,2.95,6.45,12.27,4
141,MOZ,31.202,31.202,7.551,90,90,120,6366.6,17,12_8_6_4,10.03,3.42,3.42,7.54,13.12,6
